,Title,Price,Image URL,Discount
22,"Noise Buds N1 in-Ear True Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency (Up to 40 Ms), Instacharge (10 Min=120 Min), BT V5.3 (Ice Blue)",1199.,https://m.media-amazon.com/images/I/31uHqrIlX7L._SX300_SY300_QL70_ML2_.jpg,66%
23,boAt Airdopes 131 Truly Wireless Bluetooth in Ear Earbuds with Mic (Active Black),699.,https://m.media-amazon.com/images/I/41axK5AFJ4L._SX300_SY300_QL70_ML2_.jpg,77%
24,boAt Bassheads 100 in Ear Wired Headphones Earphones with Mic (Furious Red),349.,https://m.media-amazon.com/images/I/31qRtPr+hgL._SY300_SX300_.jpg,65%
25,"ACwO Dwots Fire India's First in Ear + Half-in-Earbuds in One Case, 3+3 EQ Modes, Wireless Charging Enabled, AI-ENC with Quad Mic - Moon White",1999.,https://m.media-amazon.com/images/I/31wBBI8yWhL._SX300_SY300_QL70_ML2_.jpg,75%
26,"boAt Airdopes 91 Prime, 45HRS Battery, 13mm Drivers, Metallic Finish, Low Latency,ENx Tech, Fast Charge, v5.3 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Midnight Black)",799.,https://m.media-amazon.com/images/I/41549pixTSL._SX300_SY300_QL70_ML2_.jpg,80%
27,"Mivi Commando X7 [Just Launched] Gaming in Ear Earbuds: 35ms Low Latency, Aurora Lights, Dual RGB,13mm Bass Drivers, 50Hrs Playtime,Type C, AI ENC, Made in India Ear buds Wireless Bluetooth Gaming TWS",1199.,https://m.media-amazon.com/images/I/41LHmJzibzL._SX300_SY300_QL70_ML2_.jpg,70%
28,"Mivi SuperPods Halo [Flagship Launch], 35dB ANC Active Noise Cancellation in Ear Ear Buds Wireless, Spatial Audio, 60HRS Battery,13mm Drivers, IPX4, v5.4 Bluetooth Earbuds with Mic",1699.,https://m.media-amazon.com/images/I/41wDUq20btL._SX300_SY300_QL70_ML2_.jpg,77%
29,"Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, IP55 Dust and Water Resistant (Magico Black)",1509.,https://m.media-amazon.com/images/I/31pAe23ncfL._SX300_SY300_QL70_ML2_.jpg,34%
30,"Mustang Torq Wireless in Ear Earbuds with 50H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, Breathing LEDs, 13mm Drivers, Touch Control, Made in India IPX5 Ear Buds TWS Bluetooth 5.4",1499.,https://m.media-amazon.com/images/I/41B+MCOnmkL._SY300_SX300_.jpg,75%
31,OnePlus Nord Wired Headphones in Ear Earphones(3.5Mm),499.,https://m.media-amazon.com/images/I/21pLlDgqzaL._SY300_SX300_QL70_ML2_.jpg,62%
32,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue)",159.,https://m.media-amazon.com/images/I/31hGmv4D5WL._SX300_SY300_QL70_ML2_.jpg,60%
